id,name,address,num_use,day_use,num_use1,num_use2,num_use3,num_use4,num_use5,lon,lat,urls,num_fast,num_level2,充电桩数量,config_fast,config_level2,service_provider,acessibility,operator,status,others,payment_method,power_price,service_price,parking_price,gaode_lon,gaode_lat
81,民乐P+R停车场,深圳市龙华新区民乐地铁站C出口P+R停车场,4644,2322,10000,,,,,114.043704,22.5968736,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=11998,21,44,65,-1,-1,其他,社会开放,普天,已建成未测试,其他,普天充电卡,,不详,不详,114.048809,22.594144
365,南山福满园充电站,广东省深圳市南山区南山街道福满园福满园(荔林路),3712,1856,10000,,,,,113.9127743,22.50905242,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=41380,0,1,1,-1,-1,中天昱品,社会开放,南方电网,已建成已测试,地面,顺易充App,,,,113.917632,22.506003
178,深圳尚水天成充电站,广东省深圳市龙岗区官坑南六巷,2992,1496,10000,,,,,114.1018286,22.61964032,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=18928,0,18,18,-1,M11001C/220/220/7.0,特锐德,公共,特来电,已建成已测试,其他,充电吧APP,电费:00:00~24:00:0.8755,服务费:00:00~24:00:0.7000元/度电,,114.106949,22.616966
85,COCO CITY,深圳市民治街道梅龙路2号,1368,684,,1000,,,,114.0406124,22.60540809,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=12002,0,6,6,-1,-1,其他,社会开放,普天,已建成未测试,其他,普天充电卡,,不详,不详,114.045713,22.602673
261,深圳龙华金源大厦充电站,深圳市龙华区龙华街道昌永路12号金源大厦,1362,681,,1000,,,,114.0176545,22.66935389,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=27524,6,6,12,DH-DC0600SG27/750/750/60.0,DH-AC0070XG18-D/253/253/7.0,星星充电,公共,星星充电,已建成已测试,其他,,,,,114.022713,22.666572
93,星河明居,深圳市福田区福民路南侧,1326,663,,1000,,,,114.0479165,22.52529536,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=12011,0,4,4,-1,-1,其他,社会开放,普天,已建成未测试,其他,普天充电卡,,不详,不详,114.053023,22.522568
387,南山比克大厦充电站,广东省深圳市南山区粤海街道比克科技大厦,1208,604,,1000,,,,113.9482329,22.53652622,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=41423,12,0,12,-1,-1,深圳奇辉,社会开放,南方电网,已建成已测试,地面,顺易充App,,,,113.953123,22.53353
420,高时充电站（核电工业园站）,广东省深圳市龙华区福城街道狮径路9号核电工业园,1207,603.5,,1000,,,,114.0228447,22.71607492,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=79855,7,0,7,BD-D-120/750V-2-CT/750/750/120.0,-1,星星充电,公共,星星充电,已建成已测试,其他,,,,不详,114.027918,22.713319
377,罗湖京基100车库负三层充电站,广东省深圳市罗湖区桂园街道京基100大厦深圳瑞吉酒店,1080,540,,1000,,,,114.1015341,22.54575378,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=41404,0,52,52,-1,-1,山东鲁能,社会开放,南方电网,已建成已测试,地下,顺易充App,,,,114.10665,22.543071
101,沙嘴红旗岭,深圳市福田区沙嘴路红旗岭综合楼,1073,536.5,,1000,,,,114.0311778,22.52480894,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=12022,0,4,4,-1,GA-8032//220/7,普天新能源,社会开放,普天,已建成未测试,地面,普天充电卡,电费：1.2元/度,,第一小时5元第二小时起1元/小时，每天最高10元。,114.036256,22.522044
