charingId,name,address,lon,lat,lon_gaode,lat_gaode,url,num_fast,num_slow,num_pile,service_provider,accessibility,operator,status,others,payment_method,power_price,service_price,parking_price,open_time,provider_fast,provider_slow,config_fast,config_slow
12201,特来电深圳新豪方大厦充电站,广东省深圳市南山区深南大道188号新豪方大厦,113.9211722,22.54404743,113.926033,22.541003,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=12201,0,9,9,,公共,特来电,已建成已测试,其他,充电吧APP,电费:00:00~24:00:1.06,服务费:00:00~24:00:0.7000元/度电,停车收费，第一小时10元，第二小时5元/小时，每天最高35元，15分钟内免费,周一至周日00:00-24:00,,特锐德,,M11001C/220/220/7.0
17261,特来电深圳万豪御景苑充电站,广东省深圳市南山区兴海大道2018,113.8871303,22.49080654,113.892007,22.487756,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=17261,0,10,10,,公共,特来电,已建成已测试,其他,充电吧APP,电费:00:00~24:00:1.0,服务费:00:00~24:00:0.7000元/度电,停车收费，第一小时5元，第二小时1元/小时，每天最高10元，30分钟内免费（非营业时间有车位的情况可以进去充电）,周一至周日00:00-24:00,,特锐德,,未配置/220/220/7.0
23504,特来电深圳广弘中心一期充电站,广东省深圳市龙岗区富安大道与平吉大道交叉口西50米,114.113846,22.68451479,114.118962,22.68185,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=23504,12,0,12,,公共,特来电,已建成已测试,其他,充电吧APP,"电费:00:00~07:00:0.3618,07:00~09:00:0.8418,09:00~11:30:1.2228,11:30~14:00:0.8418,14:00~16:30:1.2228,16:30~19:00:0.8418,19:00~21:00:1.2228,21:00~23:00:0.8418,23:00~24:00:0.3618","服务费:00:00~07:00:0.7000,07:00~09:00:0.7000,09:00~11:30:0.7000,11:30~14:00:0.7000,14:00~16:30:0.7000,16:30~19:00:0.7000,19:00~21:00:0.7000,21:00~23:00:0.7000,23:00~24:00:0.7000元/度电",停车收费，以场站方公告为准！,周一至周日00:00-24:00,特锐德,,未配置/750/750/150.0,
39391,宝安区机场大酒店充电站,深圳市机场大酒店,113.8193553,22.65056891,113.824398,22.647638,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=39391,36,0,36,,公共,云快充,已建成已测试,其他,支付宝、微信,00:00-08:00:0.3000;08:00-10:00:0.8000;10:00-12:00:1.2000;12:00-14:00:0.8000;14:00-19:00:1.2000;19:00-24:00:0.8000,00:00-07:00:0.53;07:00-09:00:0.21;09:00-11:30:0.1;11:30-14:00:0.21;14:00-16:30:0.1;16:30-19:00:0.21;19:00-21:00:0.1;21:00-23:00:0.21;23:00-24:00:0.53元/度电,无,00:00-23:59,,,PRS-7576T-750/120-2/750/750/120.0,
53206,特瓦特油富商城超级充电站,深圳市龙华区奋进路油富商城停车场,114.0422437,22.64864199,114.047342,22.645907,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=53206,20,0,20,,公共,特瓦特,已建成已测试,其他,,"电费:00:00~08:00,0.26;08:00~10:00,0.76;10:00~11:00,1.16;11:00~12:00,1.16;12:00~14:00,0.76;14:00~15:00,1.16;15:00~17:00,1.16;17:00~19:00,1.16;19:00~23:59,0.76;","服务费:00:00:00~07:00:00,0.5;07:00:00~09:00:00,0.5;09:00:00~11:30:00,0.5;11:30:00~14:00:00,0.5;14:00:00~16:30:00,0.5;16:30:00~19:00:00,0.5;19:00:00~21:00:00,0.5;21:00:00~23:00:00,0.5;23:00:00~23:59:59,0.5;元/度电",充电减免120分钟,00:00-23:59,,,未配置/1000/1000/180.0,
70931,深圳坪山充电站,广东省深圳市坪山区金牛西路坪山新区石井街道谢陂村,114.3489353,22.71376142,114.353856,22.71106,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=70931,27,27,54,,公共,国家电网,已建成已测试,其他,"充电卡,二维码,账户余额",0.2575-1.1575元/度,0.0000-0.3490元/度元/度电,免费（参照停车场实际费用）,00:00:00-23:59:59,,,,
84271,汇电鑫,深圳市石井街道石井社区横塘村15巷1号,114.3811486,22.69813235,114.386101,22.69547,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=84271,0,1,1,,公共,云快充,已建成已测试,其他,支付宝、微信,00:00-08:00:0.2900;08:00-10:00:0.8000;10:00-12:00:1.2000;12:00-14:00:0.8000;14:00-19:00:1.2000;19:00-24:00:0.8000,00:00-07:00:0.5000;07:00-09:00:0.5000;09:00-11:30:0.5000;11:30-14:30:0.5000;14:30-16:00:0.5000;16:00-19:00:0.5000;19:00-21:00:0.5000;21:00-23:00:0.5000;23:00-24:00:0.5000元/度电,免,全天开放,,,,
87575,特来电深圳金荣达科技工业园充电站,广东省深圳市龙岗区坂田街道雪岗路2090号金荣达科技工业园,114.0563724,22.66581464,114.061492,22.663112,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=87575,15,0,15,,公共,特来电,已建成已测试,其他,其他,"电费:00:00~07:00:0.3,07:00~09:00:0.75,09:00~11:30:1.15,11:30~14:00:0.75,14:00~16:30:1.15,16:30~19:00:0.75,19:00~21:00:1.15,21:00~23:00:0.75,23:00~24:00:0.3","服务费:00:00~07:00:0.7000,07:00~09:00:0.7000,09:00~11:30:0.7000,11:30~14:00:0.7000,14:00~16:30:0.7000,16:30~19:00:0.7000,19:00~21:00:0.7000,21:00~23:00:0.7000,23:00~24:00:0.7000元/度电",停车收费，以场地方停车收费公告牌为准！,周一至周日00:00-24:00,特锐德,,未配置/750/750/3.5,
87755,特来电深圳银星智界一期交流充电站,广东省深圳市龙华区观澜街道新澜社区观光路1301-76号银星智界,114.050249,22.71743542,114.055365,22.714734,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=87755,6,23,29,,公共,特来电,已建成已测试,其他,其他,"电费:00:00~07:00:0.2794,07:00~09:00:0.7234,09:00~11:30:1.0759,11:30~14:00:0.7234,14:00~16:30:1.0759,16:30~19:00:0.7234,19:00~21:00:1.0759,21:00~23:00:0.7234,23:00~24:00:0.2794","服务费:00:00~07:00:0.7000,07:00~09:00:0.7000,09:00~11:30:0.7000,11:30~14:00:0.7000,14:00~16:30:0.7000,16:30~19:00:0.7000,19:00~21:00:0.7000,21:00~23:00:0.7000,23:00~24:00:0.7000元/度电","停车收费，小车：半小时5元，第一小时起2元/半小时，最高收费标准20元。
大车：半小时10元，第一小时起2元/半小时，最高收费标准30元。（以上收费半小时之内免收费）",周一至周日00:00-24:00,,特锐德,,未配置/220/220/7.0
90467,金地鹭湖1号,深圳市龙华新区观澜环观南路与梅观高速交汇处-地库576-605号车位（地库入口在103岗亭处）,114.0577815,22.69519787,114.062906,22.692505,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90467,0,30,30,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90482,世纪华夏,深圳市龙岗区布吉街道中兴路（布吉天虹商场对面）地库-地库东北侧车位。,114.1174558,22.60996688,114.122562,22.607285,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90482,0,5,5,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90498,怡广小区,深圳市龙岗区教育中路24号-小区西南门入口直行30米地面车位 ,114.2969847,22.77197854,114.301837,22.769199,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90498,0,3,3,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90499,福地花园,深圳市龙岗区兴华路93号-小区健身所2号地面停车场 ,114.2997057,22.77561083,114.304561,22.772838,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90499,0,3,3,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90517,达升物流大厦,深圳市福田保税区桃花路1-3号-达升物流大厦地面车位1-9号车位。,114.0559961,22.50966617,114.061106,22.506944,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90517,0,9,9,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90518,西部城建桃李花园,广东省深圳市南山区桃园路285-小区4号楼和5号楼门前停车场。,113.9084889,22.53464398,113.913351,22.531591,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90518,0,8,8,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90519,高发·城池苑,广东省深圳市福田区福民路119号-小区地库168-173号车位。,114.0526038,22.52529327,114.05771,22.522565,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90519,0,6,6,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90520,共和世家,深圳市福田区益田路2004号-物业管理处门前。,114.0531002,22.52433266,114.058207,22.521605,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90520,0,6,6,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90533,雕塑家园,深圳市福田区中康南路8号-雕塑家园地下车库89-93/95号车位。,114.0544459,22.56608595,114.059557,22.563365,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90533,0,6,6,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90534,二十小区,广东省深圳市盐田区山泉小区内东南方向190米-二十小区内停车场。,114.2229763,22.55777634,114.227831,22.554926,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90534,0,9,9,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90544,艺峦4座,深圳市宝安区西乡大道230号-办公楼艺峦4座地下负三层停车场C区C128-C137号车位。,113.8676258,22.58520312,113.872544,22.582177,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90544,0,7,7,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90545,恒博创新科技产业园,深圳市龙华区清宁路6号彩煌工业园东150米-恒博创新科技产业园正南门地库入口，地库负一层停车场。,114.053102,22.6740393,114.058218,22.671333,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90545,0,15,15,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90546,荔园大厦&光彩新天地,深圳市南山区桂庙路24号-荔园大厦地下停车场C001-C012车位。,113.9184994,22.5285971,113.923359,22.525549,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90546,0,12,12,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90547,南油第四工业区,深圳市南山区南山大道1124号-南油第四工业区地库001-012号车位。,113.9188514,22.5251871,113.923711,22.522139,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90547,0,12,12,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90558,丰泽湖山庄,深圳市龙华区龙华民治民乐新村-丰泽湖山庄北门地面停车场。,114.0454089,22.60202682,114.050509,22.59929,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90558,0,12,12,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90562,中海康城花园,深圳市龙岗区中心城清辉路149号-中海康城花园北门停车场。,114.202613,22.71104563,114.207519,22.708249,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90562,0,20,20,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90570,朗景园,广东省深圳市南山区深南大道与科技大道交汇处-朗景园地下车库34-39号车位。,113.9885444,22.53629261,113.993509,22.533391,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90570,0,6,6,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90571,侨城豪苑,深圳市南山区沙河街17号-侨城豪苑地库负一层入口处017-022号车位。,113.9639143,22.54486919,113.968824,22.541898,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90571,0,6,6,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90574,吉大花园,深圳市龙岗区中兴路25号-吉大花园地面车位001-012号车位。,114.1173038,22.60886588,114.12241,22.606184,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90574,0,6,6,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90575,港城·蓝山雅园,深圳市盐田区中青路12号-港城蓝山雅园3栋负二楼314-B319号车位。,114.2366354,22.59031967,114.241473,22.587462,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90575,0,12,12,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90581,西柚小镇,深圳市光明区公明街道下村西柚小镇-西柚小镇地面停车场003-022号车位。,113.8821232,22.79452172,113.887028,22.791531,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90581,0,20,20,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90583,深圳国际文化产业园,深圳市福田保税区市花路21号-深圳国际文化产业园地面停车场东北方向20米001-012车位。,114.0400296,22.50965835,114.045115,22.506902,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90583,0,12,12,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90585,金丽豪苑,深圳市罗湖区田贝三路与贝丽南路交叉口东北150米-金丽豪苑地下车库出口处停车位003-011号车位。,114.1218216,22.56695865,114.126918,22.564267,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90585,0,9,9,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90590,龙胜恒博中心,深圳市龙华区龙胜地铁A口直行200米-龙胜恒博中心地库负一楼B区B024-B035车位。,114.01263,22.65272872,114.017663,22.649915,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90590,0,12,12,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90592,第5大道高发西岸花园,深圳市宝安区裕安一路与兴业路交汇处--第5大道高发西岸花园地下车库A003-A016;B002-B0,113.8730012,22.55549967,113.877906,22.552465,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90592,0,39,39,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90594,南光紫荆苑,深圳市福田保税区紫荆苑道28号-南光紫荆苑地面车位001-008。,114.0410209,22.54549169,114.04611,22.542739,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90594,0,8,8,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90598,金桃园大厦,深圳市南山区桃园路193号-金桃园大厦地面车位001-012号车位（地库出入口正对面）,113.9131134,22.53503454,113.917973,22.531984,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90598,0,12,12,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90599,缤纷年华,深圳市南山区艺园路38号-缤纷年华地库负二层2-083-2-096号车位。,113.9236489,22.54567721,113.928511,22.542634,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90599,0,12,12,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90600,厚德品园,深圳市南山区学府路6号-厚德品园地面车位001-006号车位,113.9263719,22.52904777,113.931234,22.526007,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90600,0,6,6,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90601,工勘大厦,深圳市南山区科技南八路-工勘大厦地库负4层405-411车位；415-416车位。,113.9471754,22.53836603,113.952057,22.535357,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90601,0,17,17,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90602,九号小区,深圳市盐田区盐田东海大道106号九号小区地面停车场西向东第1个车位到第18个车位,114.255457,22.59301011,114.26028,22.59015,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90602,0,18,18,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90603,东海丽景花园,深圳市盐田区东海道13号1号楼地面停车场西向东第1个车位到第18个车位,114.2529982,22.59318272,114.257823,22.590322,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90603,0,18,18,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90608,梅沙海关,广东省深圳市盐田区明珠大道中国梅沙海关主楼副楼南侧地面停车位,114.255072,22.58658511,114.259895,22.583725,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90608,0,12,12,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90609,宝佳苑,深圳市宝安区上川一路178号-宝佳苑地面停车位北向南第1个车位到第3个车位,113.8849757,22.57303243,113.889861,22.569988,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90609,0,3,3,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90611,龙湖新村,深圳市龙岗区金井路与龙湖路交叉口东南侧-龙湖新村地面停车位西向东第1个车位至第6个车位,114.2829428,22.72247772,114.287778,22.719664,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90611,0,6,6,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90612,龙壁工业区,深圳市龙岗区坂田街道大发路27号-龙壁工业区5栋地面停车场西向东第1至第12个车位,114.0485362,22.63555,114.053643,22.632826,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90612,0,21,21,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90613,中海塞纳时光,深圳市龙岗区清辉路88号-中海塞纳时光地面停车场西向东第1到第18个车位。,114.2046719,22.71357907,114.209573,22.71078,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90613,0,18,18,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90615,职工新村,深圳市龙岗区乐园路职工新村-地面停车场西向东第1到第18个车位,114.192497,22.65552319,114.197425,22.652729,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90615,0,18,18,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90616,国华大厦,深圳市福田区侨香三道16号国华大厦地面停车场入口旁西向东1到6个车位,114.0175055,22.55371033,114.022544,22.550896,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90616,0,6,6,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90617,海运大厦,深圳市南山区蛇口赤湾右炮台路6号海运大厦地面停车场西向东第1到第6个车位,113.8786361,22.46843121,113.883525,22.465388,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90617,0,6,6,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90619,塘朗雅苑,深圳市南山区珠光路塘朗雅苑首层车库83-100车位,113.9554478,22.57644406,113.960344,22.573457,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90619,0,18,18,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90621,水榭春天1-3期12栋,深圳市龙华区人民路莱蒙水榭春天花园1-3期12栋负二楼C区C080-C094车位,114.0230076,22.62576531,114.028065,22.622976,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90621,0,15,15,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90636,观城山庄,深圳市龙华区环观中路24号观城山庄地面停车场西向东第1到第6个车位,114.045503,22.71090801,114.050611,22.708195,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90636,0,6,6,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90637,广兴源互联网智慧科技园,深圳市宝安区74区锦和路48-1号广兴源互联网智慧科技园地面停车场北向南第1到第9个车位,113.8892376,22.59198443,113.894118,22.58894,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90637,0,9,9,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90639,水榭春天1-3期6栋,深圳市龙华区人民路莱蒙水榭春天花园1-3期6栋负一楼H区H102-H111车位,114.0230076,22.62576531,114.028065,22.622976,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90639,0,6,6,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90642,福中福花园,深圳市宝安区宝源路1026号福中福花园地面停车场西向东第1到18个车位,113.8677602,22.56673056,113.872676,22.563702,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90642,0,18,18,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90666,曼海宁花园北区,"深圳市龙华区新区大道1002号潜龙曼海宁花园北区负一层A区080-089,110-129,144-1",114.004805,22.64347097,114.009819,22.640631,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90666,0,61,61,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90678,明月花园,深圳市福田区福保街道明月社区益田路3009号明月花园地面停车场西向东第1个到第12个车位,114.0505639,22.52758454,114.055667,22.524852,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90678,0,12,12,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90680,深圳国际机器人城,深圳市龙岗区向银路与银翠路交叉口北侧（7天连锁酒店南侧）深圳国际机器人城停车场西向东第1到第9个车位,114.2523702,22.71973125,114.257203,22.716898,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90680,0,9,9,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90681,半山语林花园,深圳市南山区珠光路230号半山语林花园地面停车场西向东第1到第5个车位,113.9545684,22.57548811,113.959464,22.572498,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90681,0,5,5,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90682,清凤荣盛创投大厦,深圳市福田区八卦三路88-8号清凤荣盛创投大厦停车场负二层017-031车位,114.0952064,22.56477205,114.100334,22.562092,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90682,0,15,15,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90683,田寮物流园,深圳市光明区南环大道1233号田寮物流园地面停车场西向东第1到第9个车位,114.044845,22.70278229,114.04995,22.700065,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90683,0,9,9,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90684,清华大学研究院,深圳市南山区高新南七道19号清华大学研究院地面停车场西向东第1个到第13个车位,113.9378104,22.5360609,113.942681,22.533036,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90684,0,15,15,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90686,东部翠海轩,深圳市盐田区沙头角云汉路1号东部翠海轩地面停车场西向东第1到第6个车位,114.237753,22.56562833,114.242587,22.562767,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90686,0,6,6,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90687,满京华喜悦里华庭一期,深圳市龙岗区龙岗街道南联社区银威路6号满京华喜悦里华庭一期负一层180-194车位,114.2635563,22.72345798,114.268386,22.720629,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90687,0,15,15,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90688,满京华喜悦里华庭二期,深圳市龙岗街道南联社区碧新路东满京华喜悦里华庭二期负一层151-166，386-403车位,114.2640867,22.72339737,114.268917,22.720569,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90688,0,33,33,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90699,中海鹿丹名苑（六栋）,深圳市罗湖区滨河大道与金塘街交叉路口中海鹿丹名苑负二层F区095-112车位,114.1015642,22.53739188,114.106685,22.53471,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90699,0,18,18,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
90700,宝能太古城南区,深圳市南山区蛇口街道深圳湾社区中心路2233号宝能太古城南区-1F140 - -1F151车位。,113.9343215,22.50248901,113.939186,22.499458,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90700,0,12,12,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
